frase,prediccion
 la clase fue muy interesante. agradezco su atención,P
 no recomiendo este lugar. quedo atento,P
 no recomiendo este lugar. gracias,P
 el sistema está funcionando bien. nos vemos,P
 la aplicación tiene errores. quedo atento,NONE
 me parece una buena solución. espero su respuesta,P
 el servicio fue excelente. gracias,P
 fue todo un éxito. gracias,P
 fue una experiencia inolvidable. saludos cordiales,P
 tuvieron una atención deficiente. saludos cordiales,P
 el sistema está funcionando bien. que tenga un buen día,P
 no cumplió con lo prometido. con gusto lo revisaré,P
 todo salió según lo planeado. hasta pronto,N
 el sistema está funcionando bien. agradezco su atención,P
 la comida llegó tarde. que tenga un buen día,P
 tengo una duda importante. espero su respuesta,P
 quisiera más información. nos vemos,N
 me parece una buena solución. que tenga un buen día,P
 tengo una duda importante. gracias,P
 me gustó mucho la película. saludos cordiales,P
 no recomiendo este lugar. quedo atento,P
 me siento frustrado con los resultados. que tenga un buen día,P
 me gustó mucho la película. hasta pronto,P
 tengo una duda importante. nos vemos,P
 no entiendo este ejercicio. quedo atento,N
 la clase fue muy interesante. espero su respuesta,P
 fue una experiencia inolvidable. nos vemos,NONE
 me gustó mucho la película. hasta pronto,P
 tuvieron una atención deficiente. hasta pronto,P
 no recomiendo este lugar. que tenga un buen día,P
 la comida llegó tarde. nos vemos,N
 todo salió según lo planeado. agradezco su atención,N
 no cumplió con lo prometido. hasta pronto,N
 la comida llegó tarde. con gusto lo revisaré,P
 tuvieron una atención deficiente. gracias,P
 me siento frustrado con los resultados. quedo atento,N
 me siento frustrado con los resultados. espero su respuesta,N
 me parece una buena solución. hasta luego,P
 el trato fue muy amable. hasta pronto,NONE
 me siento frustrado con los resultados. agradezco su atención,N
 me parece una buena solución. agradezco su atención,P
 fue una experiencia inolvidable. saludos cordiales,P
 la aplicación tiene errores. que tenga un buen día,P
 los datos no coinciden. agradezco su atención,N
 me parece una buena solución. hasta luego,P
 el servicio fue excelente. que tenga un buen día,P
 no entiendo este ejercicio. que tenga un buen día,N
 me siento frustrado con los resultados. que tenga un buen día,P
 el servicio fue excelente. que tenga un buen día,P
 me siento frustrado con los resultados. saludos cordiales,N
 no cumplió con lo prometido. hasta pronto,N
 la aplicación tiene errores. espero su respuesta,N
 tengo una duda importante. hasta pronto,P
 necesito ayuda con mi tarea. hasta luego,NONE
 tuvieron una atención deficiente. saludos cordiales,P
 los datos no coinciden. gracias,P
